cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slnp:resource_uri
;1980-08-31;178858;MARIO SILVIO MENDES NEGROMONTE JUNIOR;MÁRIO NEGROMONTE JR.;e03f89bf-c7bf-4f38-a036-24b3819e3e88
;1971-03-28;74050;MAURÍCIO QUINTELLA MALTA LESSA;MAURÍCIO QUINTELLA LESSA;386c62eb-b51f-4895-b016-1f22fd0f5176
;1956-12-11;160561;JOSÉ OLIMPIO SILVEIRA MORAES;MISSIONÁRIO JOSÉ OLIMPIO;681337e2-9c6a-4b83-adb2-105bcda63757
;1979-11-28;178843;MARX BELTRÃO LIMA SIQUEIRA;MARX BELTRÃO;6dd4164a-700d-4a64-9c01-39e20f25d26a
;1949-06-15;64960;MARIA HELENA VERONESE RODRIGUES;MARIA HELENA;7db3d48a-edee-490a-8b9b-657f3f768711
;1950-06-10;171619;MARIA MARGARIDA MARTINS SALOMÃO;MARGARIDA SALOMÃO;96ab818b-73d7-4889-ab63-69e09310a2b7
;1978-05-16;178943;MARCOS BEZERRA RIBEIRO SOARES;MARCOS SOARES;670968f1-ef58-461e-a03a-a861deb65bdf
;1958-09-01;124411;MAURO PEREIRA;MAURO PEREIRA;c9860ba8-abb8-45e6-8e79-8f72e9272edb
;1966-11-22;74398;MARIA DO ROSÁRIO NUNES;MARIA DO ROSÁRIO;484ced43-9ce2-4225-9f7a-f5cd7693c6ae
;1954-04-28;74235;MARCUS ANTÔNIO VICENTE;MARCUS VICENTE;7de8a2aa-79a3-4c42-ba3e-a0d03f51923b
;1986-11-26;178956;MARIANA FONSECA RIBEIRO CARVALHO DE MORAES;MARIANA CARVALHO;bd357053-dcdd-4777-b25d-fd93f2fe1f4f
;1978-07-07;167722;MARCOS ROGÉRIO DA SILVA BRITO;MARCOS ROGÉRIO;aa9e8f4f-2cdd-448d-b20d-bd36d20c9476
;1967-03-11;178850;MARCOS SERGIO ROTTA;MARCOS ROTTA;31316b72-371b-4ea6-97e0-1d28ad8364fd
;1949-08-03;141500;MARCOS MONTES CORDEIRO;MARCOS MONTES;018d009f-480f-41c3-bcda-7aeeabfe884f
;1965-12-27;133373;MARCO AURÉLIO SPALL MAIA;MARCO MAIA;ef1de1c7-b169-4316-a05f-7b736da28f2e
;1964-09-21;160535;DIONILSO MATEUS MARCON;MARCON;c661c007-75c4-47d3-880e-b5f79a21d12b
;1946-06-30;74634;MARCOS ANTONIO MEDRADO;MARCOS MEDRADO;23b7dd5c-fc40-4619-bebf-febe952a4800
;1991-05-07;178942;MARCO ANTONIO NEVES CABRAL;MARCO ANTÔNIO CABRAL;75fd6638-b0a9-4086-89ec-fe248676f3d4
;1943-06-23;74470;MARCONDES IRAN BENEVIDES GADELHA;MARCONDES GADELHA;e088151e-471b-432f-b47e-3463e79fa4dd
;1956-11-21;178899;MARCIO CAMPOS MONTEIRO;MARCIO MONTEIRO;ec9fb26b-06b0-4e7d-ae9a-970252359430
;1970-12-12;150418;MÁRCIO CARLOS MARINHO;MÁRCIO MARINHO;170c34ab-a935-4319-a3f3-4bc746b74bd7
;1958-01-31;160536;MARCO ANTONIO TEBALDI;MARCO TEBALDI;58033ba5-9752-4747-a627-8f9f7e35cc30
;1969-06-14;178983;MARCIO LUIZ ALVINO DE SOUZA;MARCIO ALVINO;80d34a97-0000-440a-8368-271391fe215f
;1968-05-26;76287;MARCELO VIVIANI GONÇALVES;MARCELO MATOS;91346423-d686-4908-bc89-712ee31e47b5
;1980-07-10;195826;MARCELO JANDRE DELAROLI;MARCELO DELAROLI;ee9fad9e-152d-4e89-9b3d-eab0165c30a6
;1960-06-13;159238;MARCUS VINÍCIUS CAETANO PESTANA DA SILVA;MARCUS PESTANA;b05fca5c-1a39-4353-b1e1-d0bcdab1e9bc
;1960-10-06;178852;MARCOS JOSE REATEGUI SOUZA;MARCOS REATEGUI;6641ea98-f0f0-4791-abb6-6a64bbfc4a7c
;1979-05-23;179001;MARCIO DELLA VALLE BIOLCHI;MÁRCIO BIOLCHI;7aeee2ef-1887-416e-b04b-6f23cf7c46ff
;1950-06-09;74460;MARCELO COSTA E CASTRO;MARCELO CASTRO;7809e20c-b28c-4013-bda7-13266213bc6b
;1971-07-22;178932;MARCELO BELINATI MARTINS;MARCELO BELINATI;916ba8b8-6896-4501-b094-5304fd332271
;1974-02-16;179000;MARCELO HENRIQUE TEIXEIRA DIAS;MARCELO ÁLVARO ANTÔNIO;59ea183e-c5c4-4512-8edc-d74ee31617f1
;1967-09-14;118594;MARCELO SQUASSONI;MARCELO SQUASSONI;898ab897-5a4f-4b98-b905-4b66b89a4008
;1962-03-20;178826;SERGIO OLIMPIO GOMES;MAJOR OLIMPIO;fb5fca6c-77dd-430b-9518-81d9778ef7b1
;1973-09-16;160660;MARCELO THEODORO DE AGUIAR;MARCELO AGUIAR;d2fad348-cc18-4efe-b3ca-c87025d2c61d
;1948-10-26;166402;MAGDA MOFATTO HON;MAGDA MOFATTO;a3de8d28-fc10-417f-94a3-e288532acd5e
;1974-07-31;151965;JOSÉ DE ANDRADE MAIA FILHO;MAIA FILHO;24485465-1f9c-4170-97ea-64525c56c789
;1964-11-30;160633;LUIZ HENRIQUE MANDETTA;MANDETTA;d2eaf71f-8245-4a1b-98c7-393c32ad0241
;1960-05-28;178867;JOSE MARIA MACEDO JUNIOR;MACEDO;cbe0e854-0cc5-41da-b1c2-5f0366d9dfa6
;1951-08-09;198198;LUZIA MARIA FERREIRA;LUZIA FERREIRA;71a05209-b982-44e1-bbbb-df5f3f9e7750
;1968-11-18;178866;LUIZIANNE DE OLIVEIRA LINS;LUIZIANNE LINS;27d65c1f-60b7-4d09-9737-d4fde7e9e3ca
;1967-09-28;160565;MARA CRISTINA GABRILLI;MARA GABRILLI;1ba7f91e-f460-4330-ba46-61b84a6a67b3
;1934-11-30;74784;LUIZA ERUNDINA DE SOUSA;LUIZA ERUNDINA;e90ec80a-90ed-4d89-9e66-3341de786f48
;1964-02-21;141490;MANOEL ALVES DA SILVA JUNIOR;MANOEL JUNIOR;1fb9b030-43da-4e71-8cd7-c88766990032
;1960-08-21;178955;LUIZ CLAUDIO PEREIRA ALVES;LUIZ CLÁUDIO;0cebc662-55fd-47c5-b19a-52fb6d5cbf7a
;1951-06-08;178802;LUIZ CARLOS RAMOS;LUIZ CARLOS RAMOS ;55c86897-7642-411a-b987-d40a52482969
;1958-04-09;74688;LUIZ SÉRGIO NÓBREGA DE OLIVEIRA;LUIZ SÉRGIO;80ca49e7-97e1-43df-b656-802cd3946dac
;1948-11-06;141485;LUIZ CARLOS GHIORZZI BUSATO;LUIZ CARLOS BUSATO;f6c87df2-105f-4886-b5b4-7aebb4e99bd9
;1950-10-08;73778;LUIZ CARLOS JORGE HAULY;LUIZ CARLOS HAULY;828c1f19-1b0e-4a4c-a6ae-e7fae6f3fcdb
;1971-07-23;160510;LUIS HENRIQUE DE OLIVEIRA RESENDE;LUIS TIBÉ;56ced610-3a3d-4882-92e7-97463706fd49
;1969-07-23;178954;LUCIO ANTONIO MOSQUINI;LUCIO MOSQUINI;5ca40552-303b-4d52-bbdd-69fa3c289553
;1955-03-23;178931;LUCIANO DUCCI;LUCIANO DUCCI;60a9ecde-f162-435a-b97f-3c31a954efd1
;1962-11-19;94931;LÚCIO QUADROS VIEIRA LIMA;LUCIO VIEIRA LIMA;415cace3-12a5-434f-b729-eb0ecc07dd36
;1949-04-09;162332;LUIZ HILOSHI NISHIMORI;LUIZ NISHIMORI;31903233-0d33-4fd9-9c32-33a06710ef29
;1972-12-27;141484;LÚCIO DUTRA VALE;LÚCIO VALE;64eef1d1-ba59-4a58-9730-b197dc6186a9
;1945-02-13;74041;LUIZ ALBUQUERQUE COUTO;LUIZ COUTO;505b8703-cf3c-4e54-816d-16d8334d9328
;1944-11-29;74478;Luciano Caldas Bivar;LUCIANO BIVAR;f0de0283-fd9f-4a39-a966-48864531cad4
;1950-09-14;73483;LUIS CARLOS HEINZE;LUIS CARLOS HEINZE;ff983966-a102-42bb-ac2d-b3c171741236
;1955-07-22;196358;LOURIVAL GOMES DE ALMEIDA;LOURIVAL GOMES;48687c9a-de27-4884-8fae-8f6f75077ca6
;1965-12-29;160628;LUCIANA BARBOSA DE OLIVEIRA SANTOS;LUCIANA SANTOS;af51933b-e7b8-4368-a7f3-db1f14a0e320
;1957-06-18;74277;ANTONIO ADOLPHO LOBBE NETO;LOBBE NETO;c9f5587f-cf1c-46c8-a038-9ec11c182c64
;1949-11-29;160663;LEOPOLDO COSTA MEYER;LEOPOLDO MEYER;dc898628-fc22-4b90-87a2-62cc60111c4b
;1975-04-01;141482;LEONARDO LEMOS BARROS QUINTÃO;LEONARDO QUINTÃO;cc262de7-6f77-4c1b-bad1-7385d4bdf0e5
;1979-04-13;178825;LEONARDO CUNHA DE BRITO;LEO DE BRITO;f059e4fb-25c9-4f17-861a-aca8a4087a53
;1969-10-18;141483;LINDOMAR BARBOSA ALVES;LINDOMAR GARÇON;27cb99ed-e41a-4c16-a0f6-5eb3687d7fc3
;1953-11-03;74585;LINCOLN DINIZ PORTELA;LINCOLN PORTELA;08d6696b-cdb8-45f5-9c09-c79235530fdb
;1951-10-09;74156;JOSÉ LEONARDO COSTA MONTEIRO;LEONARDO MONTEIRO;49baf206-96cc-4963-b436-875033dfd8b7
;1975-12-20;178832;LEANDRE DAL PONTE;LEANDRE;d6dd3a03-239b-4c37-9b60-32ebd35ecda1
;1957-06-03;74299;JOSÉ LEÔNIDAS DE MENEZES CRISTINO;LEÔNIDAS CRISTINO;09d4048c-df71-445b-a315-c28eb1dd3386
;1962-07-16;178894;LAUDIVIO ALVARENGA CARVALHO;LAUDIVIO CARVALHO;6edf9367-077e-4e77-bea9-5f7c6df24830
;1947-02-11;141480;LÁZARO BOTELHO MARTINS;LÁZARO BOTELHO;6d8974de-b74f-42a4-a260-a2065b90ba51
;1956-09-28;160659;IOLANDA KEIKO MIASHIRO OTA;KEIKO OTA;8b7604e4-4d89-449b-aec9-04ec74e103c7
;1954-06-21;141562;WELINGTON COIMBRA;LELO COIMBRA;cbf579e9-bdca-44e6-9633-9de0c4b10cc7
;1955-10-14;74570;JUTAHY MAGALHÃES JÚNIOR;JUTAHY JUNIOR;7271d17b-fef1-4b39-ab49-db98d2a09cb7
;1954-05-01;141478;LAERTE RODRIGUES DE BESSA;LAERTE BESSA;ddf8f745-9d73-4bbb-a540-ba9c72c43c78
;1984-11-06;178886;JOSE JUSCELINO DOS SANTOS REZENDE FILHO;JUSCELINO FILHO;b12e9675-4a16-4dae-a320-2d0896288b1f
;1940-12-15;160544;JUNJI ABE;JUNJI ABE;05c5f810-df1c-4bae-8476-7a89252e06c1
;1979-11-06;74254;LEONARDO CARNEIRO MONTEIRO PICCIANI;LEONARDO PICCIANI;d09ebab4-9a44-4c56-bca1-04eb6143d582
;1959-04-15;151208;LAERCIO JOSÉ DE OLIVEIRA;LAERCIO OLIVEIRA;83c8d79e-ae68-42ce-a1ec-af2186a93bbb
;1959-04-06;74253;JULIO LUIZ BAPTISTA LOPES;JULIO LOPES;94ed6a79-7705-481a-857a-c230893dfdb0
;1960-04-11;67312;JULIA MARIA GODINHO DA CRUZ MARINHO;JÚLIA MARINHO;768e030a-17e8-4d5d-b801-114524e133fc
;1948-08-25;74317;JÚLIO CÉSAR DE CARVALHO LIMA;JÚLIO CESAR;aa587dd2-8931-4000-8827-8d0a96390ad3
;1944-05-27;74351;JOSUÉ BENGTSON;JOSUÉ BENGTSON;3ac0e321-edb1-4cb1-a10e-3b3cb4907223
;1983-11-14;178918;KAIO CESAR DE MOURA MANICOBA NOVAES FERRAZ;KAIO MANIÇOBA;dbd6c6f0-244a-4498-9467-aae7842d7b15
;1951-06-04;73666;JOVAIR DE OLIVEIRA ARANTES;JOVAIR ARANTES;7d1e5d4b-1828-484e-ab29-5f08712c2773
;1957-08-11;160607;JOSE LUIZ STÉDILE;JOSE STÉDILE;17abaab1-3d31-4a42-a426-d496764cf962
;1966-11-18;73586;JÚLIO CÉSAR DELGADO;JÚLIO DELGADO;11fc57dc-d700-4928-993a-d907720e180d
;1970-03-02;178885;ANTONIO DA CRUZ FILGUEIRA JUNIOR;JUNIOR MARRECA;0177472e-06b0-448d-84ba-494ac45efca3
;1939-03-19;73714;José Reinaldo Carneiro Tavares;JOSÉ REINALDO;d8868f4e-64d2-4815-92b2-b4e1bf8477a3
;1946-10-01;141474;JULIÃO AMIN CASTRO;JULIÃO AMIN;c2957e30-5fc5-4395-978a-dfc0787bff40
;1956-10-14;74141;JOSIAS GOMES DA SILVA;JOSIAS GOMES;5604b4ab-c2cc-4eae-8880-bbc9c07e0dd1
;1962-05-10;114941;JOSINIANE BRAGA NUNES;JOSI NUNES;cbd3e10f-befd-4980-99ba-52e41b540121
;1963-12-02;74079;JOSÉ BENITO PRIANTE JÚNIOR;JOSÉ PRIANTE;ef275957-ca06-424f-855d-331148e7826b
;1950-12-18;160619;JOSÉ NUNES SOARES;JOSÉ NUNES;3df2b21d-ca9c-475f-92d0-cfe8d0b3bf58
;1959-02-13;141470;JOSÉ NOBRE GUIMARÃES;JOSÉ GUIMARÃES;2e68f685-a86b-4632-9134-1fb18ece25f5
;1962-04-21;74395;JOSÉ OTÁVIO GERMANO;JOSÉ OTÁVIO GERMANO;ad47848b-d138-423c-a7c5-e0d9a6f8192a
;1944-12-21;74140;JOSÉ CARLOS LEÃO DE ARAÚJO;JOSÉ CARLOS ARAÚJO;87c348e4-2795-4bab-9f85-cf18a5d02c8d
;1956-07-15;160509;JORGINHO DOS SANTOS MELLO;JORGINHO MELLO;0b20910f-e5c8-40d8-8315-694a9cbd87c7
;1955-01-03;73535;JORGE TADEU MUDALEN;JORGE TADEU MUDALEN;61500541-4d02-469b-ad75-5a2c044c3342
;1948-08-18;74554;JOSÉ ALVES ROCHA;JOSÉ ROCHA;deef33ed-7326-46d4-ad50-37232d289367
;1947-01-13;131966;José Alberto Fogaça de Medeiros;JOSÉ FOGAÇA;b33d646b-2694-4969-ac9d-04e88cc7a4da
;1955-11-05;74388;JORGE CATARINO LEONARDELI BOEIRA;JORGE BOEIRA;ff3be8dc-c759-4227-b264-6072197fd76b
;1961-04-11;178857;JORGE JOSE SANTOS PEREIRA SOLLA;JORGE SOLLA;430d6fe1-8134-490d-85f4-62aa9cb2e526
;1951-05-09;160572;JORGE WICKS CÔRTE REAL;JORGE CÔRTE REAL;69a4f830-fd74-4778-a318-78c033fb9593
;1948-09-30;74275;JOSÉ MENTOR GUILHERME DE MELLO NETTO;JOSÉ MENTOR;a15e98d9-5dad-4324-a704-872a3ec3be90
;1967-03-23;160571;JOÃO RODRIGUES;JOÃO RODRIGUES;ef88b2a3-a483-4e9e-8f0a-042a3492f1da
;1958-07-28;178988;JOAO PAULO TAVARES PAPA;JOÃO PAULO PAPA;b83d841d-8b61-4430-84fa-fb62464c1913
;1977-09-30;178971;JONY MARCOS DE SOUZA ARAUJO;JONY MARCOS;d0c2f528-5304-4298-a13b-1a0df6216067
;1961-12-02;178910;JOAQUIM PASSARINHO PINTO DE SOUZA PORTO;JOAQUIM PASSARINHO;b5479454-154d-49c5-a411-2b8c27149591
;1972-12-19;178967;JOAO PAULO KARAM KLEINUBING;JOÃO PAULO KLEINÜBING;aba76689-3af6-406b-9266-138eeb70f591
;1973-11-11;112437;JOÃO MARCELO SANTOS SOUZA;JOÃO MARCELO SOUZA;b9b0b1f6-f126-4745-8f2a-1459e9de0b60
;1967-08-22;178970;JOAO SOMARIVA DANIEL;JOÃO DANIEL;5ac68b0d-d463-4151-8c9c-d474a5dbb4f5
;1972-10-08;141458;JOÃO CARLOS PAOLILO BACELAR FILHO;JOÃO CARLOS BACELAR;fa83e7ab-73d1-4129-a4cc-6937398f67d4
;1962-12-28;74366;JOÃO CAMPOS DE ARAÚJO;JOÃO CAMPOS;a8320577-9c02-4499-82cf-9674c0fead7a
;1971-11-20;194262;JONES ALEXANDRE MARTINS;JONES MARTINS;8b7d1c93-c6c5-4e6d-b2de-93a4c5d09a8e
;1976-05-22;160573;JOÃO JOSÉ DE ARRUDA JÚNIOR;JOÃO ARRUDA;586f3917-5dda-4f38-a305-07e2d40df0ec
2016-12-11;1937-10-19;74445;JOÃO CASTELO RIBEIRO GONÇALVES;JOÃO CASTELO;8dcb593a-7083-47bb-8ea7-4114ed8603ae
;1946-08-09;141503;MARIA DO SOCORRO JÔ MORAES;JÔ MORAES;87309da7-a1b7-49ea-af47-9a034d3a998b
;1987-07-22;178842;JOAO HENRIQUE HOLANDA CALDAS;JHC;b29a1633-7fcf-458b-b3b1-04e04ae2f2af
;1958-07-06;178856;JOAO GUALBERTO VASCONCELOS;JOÃO GUALBERTO;e22525c9-6ff7-4e0d-8dc0-9a05a8ad4d37
;1980-11-28;178839;JESSICA ROJAS SALES;JÉSSICA SALES;fffd7fbd-bcad-484a-b237-b7d6c22847fc
;1983-09-03;160531;JOHNATHAN PEREIRA DE JESUS;JHONATAN DE JESUS;c42ba4c3-eb25-4618-8c6e-c39f2fca8d4b
;1964-10-26;74273;JEFFERSON ALVES DE CAMPOS;JEFFERSON CAMPOS;216e1c45-0baf-4caf-9961-2e075aedd7a7
;1942-08-23;131943;Jarbas de Andrade Vasconcelos;JARBAS VASCONCELOS;86e78af8-6454-4683-a807-9cd436dd6f9d
;1955-03-21;74847;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;22390617-8e76-40de-b1e9-e8ae25038ff6
;1953-06-17;74665;JAIME MARTINS FILHO;JAIME MARTINS;e8b3467d-ab12-4846-8338-e25fd8bc2da6
;1974-03-10;160672;JEAN WYLLYS DE MATOS SANTOS;JEAN WYLLYS;434624d9-87a5-428c-880a-be1058b936cf
;1976-01-20;160570;JERÔNIMO PIZZOLOTTO GOERGEN;JERÔNIMO GOERGEN;0d3e39a0-3462-4f3b-979e-469bc2e49b95
;1946-07-05;73531;IVAN VALENTE;IVAN VALENTE;ba67cbc5-ed65-4d37-9024-bd6a45183a5b
;1961-07-26;196378;IZAQUE JOSE DA SILVA;IZAQUE SILVA;fc293d61-e1c1-4bde-8c12-15693de65c43
;1966-11-04;178855;ANTONIO LAZARO SILVA;IRMÃO LAZARO;79864b9a-c1cc-4244-8c61-a2fc28504ce2
;1956-04-07;4931;IZALCI LUCAS FERREIRA;IZALCI LUCAS;0259d6a1-5608-4c59-a585-0a3cfeb5e315
;1970-10-20;141389;ANTONIO PEDRO INDIO DA COSTA;INDIO DA COSTA;8634cd1d-5eb2-4ce1-b32e-d869ced1ef65
;1983-02-03;81232;IRAJÁ SILVESTRE FILHO;IRAJÁ ABREU;4c90f154-beb4-46fd-b262-2165850899e1
;1945-10-20;194592;ILDON MARQUES DE SOUZA;ILDON MARQUES;1a856047-8ea5-4cf1-8233-ca0313b198c8
;1966-04-23;67138;IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA;IRACEMA PORTELLA;506bd908-b60f-4864-9d64-58110734fd45
;1978-02-06;160596;HEULER ABREU CRUVINEL;HEULER CRUVINEL;d8cb3a2a-6e4e-49bd-9102-bf7119051ec3
;1989-09-11;160674;HUGO MOTTA WANDERLEY DA NÓBREGA;HUGO MOTTA;5322b1a0-439a-42c2-a5ea-6c6f70395081
;1950-08-01;97707;HERÁCLITO DE SOUSA FORTES;HERÁCLITO FORTES;eda1c76c-08cf-4f4e-a0f9-fb53354784d4
;1962-08-06;141450;HUGO LEAL MELO DA SILVA;HUGO LEAL;3bd8d03c-be1a-47e1-988b-47828c522022
;1956-08-04;178981;HERCULANO CASTILHO PASSOS JUNIOR;HERCULANO PASSOS;f4a5921c-9f7b-4176-a94a-96996b979c9a
;1958-04-25;73772;HERMES PARCIANELLO;HERMES PARCIANELLO;2eeaf9c2-537e-4b3b-a18e-e83180c26ce8
;1960-04-22;178884;HILDO AUGUSTO DA ROCHA NETO;HILDO ROCHA;893e009e-a971-403f-86a7-ac5dcf197f9d
;1980-08-02;178849;HISSA NAGIB ABRAHAO FILHO;HISSA ABRAHÃO;70825e89-8f53-4af7-a7a9-caf435526fdc
;1962-03-25;178964;HEITOR JOSE SCHUCH;HEITOR SCHUCH;74f99559-defd-4519-8678-65114e534908
;1964-03-08;178873;HELDER IGNACIO SALOMAO;HELDER SALOMÃO;e48da2c7-36c4-430b-912b-71fa3c909cfe
;1982-10-14;160667;GUILHERME MUSSI FERREIRA;GUILHERME MUSSI;f185b176-4efb-4fa5-966f-22c116a435df
;1957-12-09;178909;HELIO LEITE DA SILVA;HÉLIO LEITE;4a14500f-eff5-45db-a05b-c4ce768b5be7
;1953-12-23;178980;ANTONIO GOULART DOS REIS;GOULART;2e12915f-6c39-49bb-8d7e-e3d2ca618e2d
;1960-01-18;73482;HENRIQUE FONTANA JÚNIOR;HENRIQUE FONTANA;a9c4ae04-0d34-4cac-955f-71662ccf509a
